mode,r,target_modules,trainable_params,total_params,pct_trainable,opt_state_mb,peak_mem_mb,train_time_s,val_accuracy
full,,,66955010,66955010,100.0,535.64008,2180.716032,1741.2291486263275,0.8853211009174312
frozen_head,,,592130,66955010,0.8843699672362083,4.73704,441.665536,949.6505794525146,0.8348623853211009
lora,8,q_lin+v_lin,739586,67102466,1.10217409893699,5.916688,1271.13216,1336.4329435825348,0.8887614678899083
lora,32,q_lin,887042,67249922,1.3190230912089385,7.096336,1261.760512,1227.7864661216736,0.8577981651376146
lora,16,q_lin+v_lin,887042,67249922,1.3190230912089385,7.096336,1273.819136,1240.197671175003,0.8692660550458715
lora,8,q_lin+k_lin+v_lin+out_lin,887042,67249922,1.3190230912089385,7.096336,1275.785216,1296.8667352199554,0.8738532110091743
lora,4,q_lin+k_lin+v_lin+out_lin+lin1+lin2,923906,67286786,1.3730868346126683,7.391248,1651.482624,1438.8970093727112,0.8704128440366973
full,,,66955010,66955010,100.0,535.64008,2180.716032,1661.950457572937,0.8956422018348624
frozen_head,,,592130,66955010,0.8843699672362083,4.73704,441.665536,672.7966408729553,0.8130733944954128
lora,8,q_lin+v_lin,739586,67102466,1.10217409893699,5.916688,1271.13216,1238.5631620883942,0.8922018348623854
lora,32,q_lin,887042,67249922,1.3190230912089385,7.096336,1261.760512,1213.6198451519012,0.8715596330275229
lora,16,q_lin+v_lin,887042,67249922,1.3190230912089385,7.096336,1273.819136,1238.4197072982788,0.8876146788990825
lora,8,q_lin+k_lin+v_lin+out_lin,887042,67249922,1.3190230912089385,7.096336,1275.785216,1295.3653032779694,0.8589449541284404
lora,4,q_lin+k_lin+v_lin+out_lin+lin1+lin2,923906,67286786,1.3730868346126683,7.391248,1651.482624,1437.6986021995544,0.8841743119266054
lora,1,q_lin+v_lin,610562,66973442,0.9116479335196779,4.884496,1267.552256,1233.000721693039,0.8944954128440367
lora,2,q_lin+v_lin,628994,66991874,0.9389108894013026,5.031952,1267.970048,1238.0871465206146,0.8864678899082569
lora,4,q_lin+v_lin,665858,67028738,0.9933918194909175,5.326864,1268.805632,1238.1183540821075,0.875
lora,8,q_lin+v_lin,739586,67102466,1.10217409893699,5.916688,1270.4768,1237.439458847046,0.8669724770642202
lora,16,q_lin+v_lin,887042,67249922,1.3190230912089385,7.096336,1273.819136,1238.8488941192627,0.8692660550458715
lora,32,q_lin+v_lin,1181954,67544834,1.7498806792537236,9.455632,1280.503808,1239.6420373916626,0.8600917431192661
